Anio,Mes,Region,IPC
2023,Junio,Reg V,155.01
2023,Junio,Reg VI,155.42
2023,Junio,Reg VII,235.72
2023,Junio,Reg VIII,172.82
2023,Julio,Rep,171.06
2023,Julio,Reg I,141.53
2023,Julio,Reg II,264.64
2023,Julio,Reg III,161.34
2023,Julio,Reg IV,242.17
2023,Julio,Reg V,155.48
2023,Julio,Reg VI,155.8
2023,Julio,Reg VII,238.29
2023,Julio,Reg VIII,173.3
2023,Agosto,Rep,172.13
2023,Agosto,Reg I,142
2023,Agosto,Reg II,266.53
2023,Agosto,Reg III,162.08
2023,Agosto,Reg IV,243.79
2023,Agosto,Reg V,156.64
2023,Agosto,Reg VI,157.35
2023,Agosto,Reg VII,239.98
2023,Agosto,Reg VIII,174.66
2023,Septiembre,Rep,173.1
2023,Septiembre,Reg I,142.38
2023,Septiembre,Reg II,265.1
2023,Septiembre,Reg III,162.84
2023,Septiembre,Reg IV,243.94
2023,Septiembre,Reg V,158.38
2023,Septiembre,Reg VI,159.52
2023,Septiembre,Reg VII,241.05
2023,Septiembre,Reg VIII,177.84
2023,Octubre,Rep,175.29
2023,Octubre,Reg I,143.28
2023,Octubre,Reg II,265.14
2023,Octubre,Reg III,164.58
2023,Octubre,Reg IV,246.65
2023,Octubre,Reg V,160.36
2023,Octubre,Reg VI,162.22
2023,Octubre,Reg VII,248.21
2023,Octubre,Reg VIII,181.38
2023,Noviembre,Rep,174.14
2023,Noviembre,Reg I,143.45
2023,Noviembre,Reg II,263.61
2023,Noviembre,Reg III,162.45
2023,Noviembre,Reg IV,246.17
2023,Noviembre,Reg V,159.31
2023,Noviembre,Reg VI,160.7
2023,Noviembre,Reg VII,243.57
2023,Noviembre,Reg VIII,179.04
2023,Diciembre,Rep,174.34
2023,Diciembre,Reg I,143.7
2023,Diciembre,Reg II,267.15
2023,Diciembre,Reg III,162.35
2023,Diciembre,Reg IV,247.01
2023,Diciembre,Reg V,159.41
2023,Diciembre,Reg VI,161.12
2023,Diciembre,Reg VII,241.25
2023,Diciembre,Reg VIII,179
