Anio,Mes,DEPARTAMENTO,Region,IPC_Regional_Actual,IPC_Regional_Anterior,Inflacion_regional,Proporcion_Regional,Poblacion_pais,Poblacion_Dpto,Prop_Depto,Contribucion_Inflacion_Depto
2022,Junio,Guatemala,Reg I,136.68,128.14,6.664585609,1,17357886,3599257,0.207355723,1.381939967
2022,Julio,Guatemala,Reg I,137.13,128.5,6.715953307,1,17357886,3599257,0.207355723,1.392591353
2022,Agosto,Guatemala,Reg I,137.96,128.63,7.253362357,1,17357886,3599257,0.207355723,1.504026195
2022,Septiembre,Guatemala,Reg I,139.06,128.84,7.932319156,1,17357886,3599257,0.207355723,1.644811773
2022,Octubre,Guatemala,Reg I,140.63,129.49,8.602980925,1,17357886,3599257,0.207355723,1.783877329
2022,Noviembre,Guatemala,Reg I,141.15,129.99,8.58527579,1,17357886,3599257,0.207355723,1.780206068
2022,Diciembre,Guatemala,Reg I,141.48,130.08,8.763837638,1,17357886,3599257,0.207355723,1.817231889
2022,Enero,Huehuetenango,Reg VII,205.68,197.69,4.04168142,0.564489871,17357886,1426830,0.082200678,0.332228954
2022,Febrero,Huehuetenango,Reg VII,206.62,201.11,2.739794143,0.564489871,17357886,1426830,0.082200678,0.225212936
2022,Marzo,Huehuetenango,Reg VII,209.72,201.49,4.084569954,0.564489871,17357886,1426830,0.082200678,0.33575442
2022,Abril,Huehuetenango,Reg VII,210.09,200.62,4.720366863,0.564489871,17357886,1426830,0.082200678,0.388017357
2022,Mayo,Huehuetenango,Reg VII,211.97,200.59,5.673263872,0.564489871,17357886,1426830,0.082200678,0.466346137
2022,Junio,Huehuetenango,Reg VII,220.36,201.8,9.197224975,0.564489871,17357886,1426830,0.082200678,0.75601813
2022,Julio,Huehuetenango,Reg VII,225.71,202.48,11.47273805,0.564489871,17357886,1426830,0.082200678,0.943066848
2022,Agosto,Huehuetenango,Reg VII,225.93,203.5,11.02211302,0.564489871,17357886,1426830,0.082200678,0.906025165
2022,Septiembre,Huehuetenango,Reg VII,225.54,203.99,10.56424335,0.564489871,17357886,1426830,0.082200678,0.868387967
2022,Octubre,Huehuetenango,Reg VII,227.54,204.4,11.32093933,0.564489871,17357886,1426830,0.082200678,0.93058889
2022,Noviembre,Huehuetenango,Reg VII,225.05,205.56,9.481416618,0.564489871,17357886,1426830,0.082200678,0.779378876
2022,Diciembre,Huehuetenango,Reg VII,224.7,205.74,9.215514727,0.564489871,17357886,1426830,0.082200678,0.75752156
2022,Enero,Izabal,Reg III,144.49,138.83,4.076928618,0.329052782,17357886,452338,0.02605951,0.106242761
2022,Febrero,Izabal,Reg III,145.29,139.03,4.502625333,0.329052782,17357886,452338,0.02605951,0.117336209
2022,Marzo,Izabal,Reg III,148.36,139.43,6.404647493,0.329052782,17357886,452338,0.02605951,0.166901974
2022,Abril,Izabal,Reg III,149.36,140.31,6.450003564,0.329052782,17357886,452338,0.02605951,0.168083931
2022,Mayo,Izabal,Reg III,151.31,140.72,7.525582717,0.329052782,17357886,452338,0.02605951,0.196112996
2022,Junio,Izabal,Reg III,153.02,140.95,8.563320326,0.329052782,17357886,452338,0.02605951,0.22315593
2022,Julio,Izabal,Reg III,154.63,141.28,9.449320498,0.329052782,17357886,452338,0.02605951,0.24624466
2022,Agosto,Izabal,Reg III,155.34,141.31,9.928525936,0.329052782,17357886,452338,0.02605951,0.258732519
2022,Septiembre,Izabal,Reg III,155.98,141.39,10.31897588,0.329052782,17357886,452338,0.02605951,0.268907453
2022,Octubre,Izabal,Reg III,157.69,142.1,10.97114708,0.329052782,17357886,452338,0.02605951,0.285902715
2022,Noviembre,Izabal,Reg III,157.66,143.02,10.23633058,0.329052782,17357886,452338,0.02605951,0.266753757
2022,Diciembre,Izabal,Reg III,158.65,143.98,10.18891513,0.329052782,17357886,452338,0.02605951,0.265518133
2022,Enero,Jalapa,Reg IV,212.98,207.5,2.640963855,0.287495132,17357886,407468,0.023474518,0.061995352
2022,Febrero,Jalapa,Reg IV,214.11,208.42,2.730064293,0.287495132,17357886,407468,0.023474518,0.064086942
2022,Marzo,Jalapa,Reg IV,217.01,209.08,3.792806581,0.287495132,17357886,407468,0.023474518,0.089034305
2022,Abril,Jalapa,Reg IV,217.45,209.99,3.552550121,0.287495132,17357886,407468,0.023474518,0.0833944
2022,Mayo,Jalapa,Reg IV,218.93,210.64,3.935624763,0.287495132,17357886,407468,0.023474518,0.092386893
2022,Junio,Jalapa,Reg IV,226.94,211.01,7.549405241,0.287495132,17357886,407468,0.023474518,0.177218646
2022,Julio,Jalapa,Reg IV,227.57,211.36,7.669379258,0.287495132,17357886,407468,0.023474518,0.180034978
2022,Agosto,Jalapa,Reg IV,228.73,211.24,8.279681878,0.287495132,17357886,407468,0.023474518,0.194361538
2022,Septiembre,Jalapa,Reg IV,229.96,211.28,8.841347974,0.287495132,17357886,407468,0.023474518,0.207546378
2022,Octubre,Jalapa,Reg IV,233.71,211.55,10.475065,0.287495132,17357886,407468,0.023474518,0.245897097
2022,Noviembre,Jalapa,Reg IV,234.16,212.13,10.38514119,0.287495132,17357886,407468,0.023474518,0.243786179
2022,Diciembre,Jalapa,Reg IV,235.01,212.73,10.47337,0.287495132,17357886,407468,0.023474518,0.245857308
