DEPARTAMENTO,Anio,ISR,IVA,TOTAL,Proporcion_ISR,Proporcion_IVA,Proporcion_Otros_Impuestos,Poblacion,Recaudacion_Per_Capita_TOTAL,Recaudacion_Per_Capita_IVA
Escuintla,2022,298.88828578,776.2129123,1285.4441172100098,0.232518,0.603848,0.163634,813169,1580.7834745422044,954.5530047259548
Guatemala,2022,23790.5713147702,42711.990224478606,83443.91583477509,0.285109,0.511865,0.203027,3599257,23183.65035749742,11866.890923454093
Huehuetenango,2022,106.12784522,161.96545215999998,382.10035612000104,0.277749,0.423882,0.298369,1426830,267.7966934533203,113.51419030998787
Izabal,2022,90.39052553,192.92396055,364.962380080001,0.247671,0.528613,0.223716,452338,806.8355523524466,426.5039871733085
Jalapa,2022,27.78747175,46.1039931399999,103.71506590000001,0.267921,0.444526,0.287553,407468,254.53548720390313,113.147518676313
Jutiapa,2022,38.840660719999995,108.0048305699998,216.51457615000098,0.179391,0.498834,0.321775,558105,387.94595309126595,193.52062886016037
Petén,2022,51.003832120000006,92.41357727,201.164219390001,0.253543,0.459394,0.287063,631305,318.6482277029344,146.38499183437483
Quetzaltenango,2022,243.41585935,507.61266551999995,1033.4680462500098,0.235533,0.491174,0.273293,923211,1119.427786551514,549.8338576121818
Quiché,2022,62.30337325,100.13413075000001,229.442808320002,0.271542,0.436423,0.292035,1100815,208.42994356000054,90.96363217252673
Retalhuleu,2022,57.67616273000001,102.97976892999989,209.28026680000002,0.275593,0.492066,0.232341,381635,548.3780753861674,269.8383767998215
Sacatepequez,2022,195.05484715000003,338.51882234999994,646.819159360001,0.30156,0.523359,0.175081,402357,1607.5752611735375,841.3394630887494
San Marcos,2022,54.185899840000005,121.5017718599997,272.746242100002,0.198668,0.445476,0.355857,1206198,226.12062207034168,100.73119990250332
Santa Rosa,2022,33.965745680000005,62.321725599999795,140.52173072000198,0.241712,0.443502,0.314786,451731,311.07391505121853,137.9620296149695
Sololá,2022,50.00990637,50.026818419999906,127.61161932000002,0.391891,0.392024,0.216085,481114,265.24195787277034,103.98121530448066
Suchitepequez,2022,70.97380465,118.06476183999979,251.227395,0.282508,0.469952,0.24754,619475,405.54888413576015,190.58842058194406
Totonicapan,2022,42.630648140000005,69.32163919999991,153.810898980001,0.277163,0.450694,0.272143,500941,307.0439412625459,138.3828418915599
Zacapa,2022,99.39591481999989,256.6911703399998,651.040376609993,0.152672,0.394278,0.453049,273207,2382.956427214504,939.5482924668835
Alta Verapaz,2023,106.40103796000001,173.898823930001,346.2395128999999,0.307305,0.50225,0.190445,1407025,246.07914777633653,123.5932722801663
Baja Verapaz,2023,17.392807750000003,31.247582869999896,72.1302807500002,0.24113,0.43321,0.325659,344655,209.28256009632878,90.66336733835254
Chimaltenango,2023,124.40476380000001,236.115711179999,494.4627994500019,0.251596,0.47752,0.270885,771887,640.5896192706988,305.8941414740746
Chiquimula,2023,115.17933544999998,158.26344074,357.31645972999996,0.322345,0.442922,0.234732,459294,777.9689256336899,344.57981323509557
El Progreso,2023,37.59662762,47.17727135999999,123.05673268000099,0.305523,0.383378,0.311099,196917,624.916755181122,239.57947439784272
Escuintla,2023,337.4297177599999,751.48397479,1319.4721071800102,0.255731,0.569534,0.174735,823684,1601.9154277368627,912.3449949130978
Guatemala,2023,26193.890878240298,45021.8359957999,89914.30699505469,0.291321,0.500719,0.20796,3639725,24703.599034282724,12369.570776858112
Huehuetenango,2023,123.96076417,174.94743623000002,430.4647494599989,0.28797,0.406415,0.305615,1454019,296.05166745413845,120.31991069580248
Izabal,2023,91.4226924300001,188.32643652,376.3296793,0.242932,0.500429,0.256638,458107,821.4886026626967,411.0970505143994
Jalapa,2023,33.27526224000001,55.551736639999916,124.70578182999998,0.26683,0.445462,0.287707,413918,301.28136932919074,134.20952130615223
Jutiapa,2023,44.04839744,119.7580015499997,245.916186210002,0.17912,0.486987,0.333893,563958,436.0540788675788,212.35269567946497
Petén,2023,69.51531625,103.78383848999991,244.2426499,0.284616,0.424921,0.290463,640151,381.53912108236966,162.12399651019822
Quetzaltenango,2023,287.9223997499999,560.07112437,1163.2178674900103,0.247522,0.481484,0.270993,936385,1242.2431665287359,598.1205640521794
Quiché,2023,78.28737988,105.15363897999968,262.666092270003,0.298049,0.400332,0.301619,1119425,234.6437611005677,93.93540342586569
Retalhuleu,2023,71.10003709999998,132.43676551999988,263.94214343,0.269377,0.501764,0.228858,386783,682.4036822456002,342.4058594095394
Sacatepequez,2023,239.42680899,320.03376086000003,680.2010706400011,0.351994,0.470499,0.177507,408476,1665.2167340064073,783.4824098845465
San Marcos,2023,62.85777754999999,132.8746047299997,306.710699400001,0.204942,0.433225,0.361834,1222951,250.7955751293396,108.65080017923835
Santa Rosa,2023,38.898366190000004,71.43226644999982,160.54510325000197,0.242289,0.444936,0.312775,456928,351.3575514085413,156.3315586919598
Sololá,2023,63.5737842799999,57.5473051399998,153.04258978999997,0.415399,0.376022,0.208579,487906,313.6722848048599,117.94752501506396
Suchitepequez,2023,85.71779045000001,142.45146796,293.9384952799999,0.291618,0.48463,0.223752,626419,469.2362384921273,227.40604604905025
Totonicapan,2023,52.539607759999996,82.4353357199999,186.880263630001,0.28114,0.441113,0.277746,507905,367.9433430070604,162.30463515814944
Zacapa,2023,115.10236414999999,256.268316819999,660.3699158599878,0.1743,0.388068,0.437632,275913,2393.3990636903222,928.8011685567515
Alta Verapaz,2024,110.74099175,161.81813108,345.803457739999,0.320243,0.467948,0.211809,1432432,241.41003394227369,112.96740863091583
