"","type_code","freq_code","ref_period_id","ref_year","ref_month","period","reporter_code","reporter_iso","reporter_desc","flow_code","flow_desc","partner_code","partner_iso","partner_desc","partner2code","partner2iso","partner2desc","classification_code","classification_search_code","is_original_classification","cmd_code","cmd_desc","aggr_level","is_leaf","customs_code","customs_desc","mos_code","mot_code","mot_desc","qty_unit_code","qty_unit_abbr","qty","is_qty_estimated","alt_qty_unit_code","alt_qty_unit_abbr","alt_qty","is_alt_qty_estimated","net_wgt","is_net_wgt_estimated","gross_wgt","is_gross_wgt_estimated","cifvalue","fobvalue","primary_value","legacy_estimation_flag","is_reported","is_aggregate","count"
"418","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",764,"THA","Thailand",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,2993574,2993574,0,FALSE,TRUE,NA
"419","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",768,"TGO","Togo",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,12907516,12907516,0,FALSE,TRUE,NA
"420","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",780,"TTO","Trinidad and Tobago",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,22070470,22070470,0,FALSE,TRUE,NA
"421","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",784,"ARE","United Arab Emirates",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,83748101,83748101,0,FALSE,TRUE,NA
"422","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",792,"TUR","Türkiye",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,4813504,4813504,0,FALSE,TRUE,NA
"423","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",796,"TCA","Turks and Caicos Isds",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,3200,3200,0,FALSE,TRUE,NA
"424","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",804,"UKR","Ukraine",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,39944540,39944540,0,FALSE,TRUE,NA
"425","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",807,"MKD","North Macedonia",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,27332,27332,0,FALSE,TRUE,NA
"426","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",818,"EGY","Egypt",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,16168663,16168663,0,FALSE,TRUE,NA
"427","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",826,"GBR","United Kingdom",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,97663262,97663262,0,FALSE,TRUE,NA
"428","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",834,"TZA","United Rep. of Tanzania",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,2252372,2252372,0,FALSE,TRUE,NA
"429","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",842,"USA","USA",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,TRUE,NA,FALSE,NA,3797850941,3797850941,0,FALSE,TRUE,NA
"430","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",854,"BFA","Burkina Faso",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,1540,1540,0,FALSE,TRUE,NA
"431","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",858,"URY","Uruguay",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,1080667,1080667,0,FALSE,TRUE,NA
"432","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",862,"VEN","Venezuela",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,14103956,14103956,0,FALSE,TRUE,NA
"433","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",887,"YEM","Yemen",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,130480,130480,0,FALSE,TRUE,NA
"434","C","A",20180101,2018,52,"2018",320,"GTM","Guatemala","X","Export",4,"AFG","Afghanistan",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,0,FALSE,0,FALSE,NA,557438,557438,0,FALSE,TRUE,NA
"435","C","A",20180101,2018,52,"2018",320,"GTM","Guatemala","X","Export",8,"ALB","Albania",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,0,FALSE,0,FALSE,NA,55423,55423,0,FALSE,TRUE,NA
